# Generated from NASA TM-4302 polynomial model (Jackson & Cruz 1992) by generate_aero_tables.py
# alpha_deg,de_CX,de_CY,de_CZ,de_Cl,de_Cm,de_Cn,da_CX,da_CY,da_CZ,da_Cl,da_Cm,da_Cn,dr_CX,dr_CY,dr_CZ,dr_Cl,dr_Cm,dr_Cn,dfp_CX,dfp_CY,dfp_CZ,dfp_Cl,dfp_Cm,dfp_Cn,dfn_CX,dfn_CY,dfn_CZ,dfn_Cl,dfn_Cm,dfn_Cn,ddf_CX,ddf_CY,ddf_CZ,ddf_Cl,ddf_Cm,ddf_Cn
-1.000000000000000000e+01,4.432400000000000185e-04,0.000000000000000000e+00,-4.135091999999999934e-03,0.000000000000000000e+00,-1.550019999999999827e-03,-0.000000000000000000e+00,3.741999999999999884e-04,3.136570999999999890e-03,7.843499999999999561e-04,1.932031999999999977e-03,-1.724920000000000012e-03,-9.249799999999999429e-04,2.050099999999999633e-04,2.527081139999999906e-03,-5.037000000000000461e-04,1.315210000000000250e-03,2.902830000000000124e-04,-2.152499999999999900e-03,-2.720800000000000106e-04,0.000000000000000000e+00,-3.710229999999999691e-03,0.000000000000000000e+00,-9.891190999999999265e-04,-0.000000000000000000e+00,4.475100000000000302e-04,0.000000000000000000e+00,-3.445780000000000284e-03,0.000000000000000000e+00,-1.060729999999999963e-03,-0.000000000000000000e+00,-2.764499999999999705e-04,4.351809999999999793e-04,0.000000000000000000e+00,7.872000000000000525e-04,0.000000000000000000e+00,-1.464840000000000022e-04
-9.000000000000000000e+00,3.818365379999999996e-04,0.000000000000000000e+00,-4.296890178999999109e-03,0.000000000000000000e+00,-1.596102825999999803e-03,-0.000000000000000000e+00,1.961503000000005062e-05,3.198380669100000465e-03,7.470629649999999903e-04,2.032639144199999744e-03,-1.358222161999999861e-03,-1.272671987999999914e-03,3.104722099999995317e-05,2.374818625953999899e-03,-3.601513599999999859e-04,1.082613420999999901e-03,2.382539513000000205e-04,-1.973879640000000043e-03,-2.476479380000000288e-04,0.000000000000000000e+00,-3.723080839999999819e-03,0.000000000000000000e+00,-9.893074741699999560e-04,-0.000000000000000000e+00,4.427177000000000456e-04,0.000000000000000000e+00,-3.560437127999999986e-03,0.000000000000000000e+00,-1.093029297000000033e-03,-0.000000000000000000e+00,-3.280369900000000842e-04,3.943016261000000292e-04,0.000000000000000000e+00,8.077459960000000442e-04,0.000000000000000000e+00,-1.398019207000000168e-04
-8.000000000000000000e+00,3.316567680000000184e-04,0.000000000000000000e+00,-4.443957120000000503e-03,0.000000000000000000e+00,-1.641310015999999927e-03,-0.000000000000000000e+00,-2.700819199999999879e-04,3.250327897599999873e-03,7.017246400000000774e-04,2.123712051199999791e-03,-1.043014432000000102e-03,-1.576223168000000056e-03,-1.133213440000000431e-04,2.244304274944000210e-03,-2.671681600000000390e-04,8.857026559999999112e-04,1.902563968000000054e-04,-1.820755839999999752e-03,-2.248439679999999965e-04,0.000000000000000000e+00,-3.734664639999999997e-03,0.000000000000000000e+00,-9.894374451200000156e-04,-0.000000000000000000e+00,4.388568000000000026e-04,0.000000000000000000e+00,-3.648409407999999698e-03,0.000000000000000000e+00,-1.115723392000000057e-03,-0.000000000000000000e+00,-3.740830399999999921e-04,3.529648896000000462e-04,0.000000000000000000e+00,8.200400960000000117e-04,0.000000000000000000e+00,-1.321750752000000093e-04
-7.000000000000000000e+00,2.913442580000000204e-04,0.000000000000000000e+00,-4.576811366999999041e-03,0.000000000000000000e+00,-1.685002905999999964e-03,-0.000000000000000000e+00,-5.014747699999999760e-04,3.292810933100000226e-03,6.502267650000000381e-04,2.205499332199999801e-03,-7.745788420000000469e-04,-1.838775908000000233e-03,-2.315911390000000535e-04,2.134470471714000183e-03,-2.170173600000000380e-04,7.211304609999999492e-04,1.463019633000000100e-04,-1.691024640000000001e-03,-2.039826580000000131e-04,0.000000000000000000e+00,-3.744952839999999856e-03,0.000000000000000000e+00,-9.895218709700000486e-04,-0.000000000000000000e+00,4.359272999999999555e-04,0.000000000000000000e+00,-3.712592247999999678e-03,0.000000000000000000e+00,-1.130047576999999989e-03,-0.000000000000000000e+00,-4.151562900000000007e-04,3.113622900999999895e-04,0.000000000000000000e+00,8.252281559999999263e-04,0.000000000000000000e+00,-1.237254086999999892e-04
-6.000000000000000000e+00,2.596087680000000062e-04,0.000000000000000000e+00,-4.695912447999999947e-03,0.000000000000000000e+00,-1.726581855999999868e-03,-0.000000000000000000e+00,-6.808419199999999651e-04,3.326220177600000202e-03,5.943378400000000165e-04,2.278245331199999640e-03,-5.484072319999999364e-04,-2.063359967999999888e-03,-3.270617440000000271e-04,2.044249555744000017e-03,-2.024497599999999981e-04,5.857046560000000231e-04,1.063833968000000175e-04,-1.582662240000000213e-03,-1.853415680000000069e-04,0.000000000000000000e+00,-3.753920239999999908e-03,0.000000000000000000e+00,-9.895720971199999539e-04,-0.000000000000000000e+00,4.339291999999999585e-04,0.000000000000000000e+00,-3.755747807999999625e-03,0.000000000000000000e+00,-1.137171792000000060e-03,-0.000000000000000000e+00,-4.517922399999999223e-04,2.696754896000000097e-04,0.000000000000000000e+00,8.243916159999999799e-04,0.000000000000000000e+00,-1.145714751999999938e-04
-5.000000000000000000e+00,2.352262500000000046e-04,0.000000000000000000e+00,-4.801660874999998802e-03,0.000000000000000000e+00,-1.765486250000000007e-03,-0.000000000000000000e+00,-8.141562499999998844e-04,3.350938187500000255e-03,5.357031250000000465e-04,2.342190125000000005e-03,-3.602012500000000201e-04,-2.252892500000000433e-03,-4.028368749999999767e-04,1.972573821249999897e-03,-2.167000000000000902e-04,4.763881249999999952e-04,7.047456250000000530e-05,-1.493725000000000218e-03,-1.691612500000000332e-04,0.000000000000000000e+00,-3.761544999999999819e-03,0.000000000000000000e+00,-9.895979562500000198e-04,-0.000000000000000000e+00,4.328624999999999574e-04,0.000000000000000000e+00,-3.780504999999999977e-03,0.000000000000000000e+00,-1.138200624999999907e-03,-0.000000000000000000e+00,-4.844937499999999418e-04,2.280763124999999876e-04,0.000000000000000000e+00,8.185474999999999349e-04,0.000000000000000000e+00,-1.048284374999999932e-04
-4.000000000000000000e+00,2.170388479999999908e-04,0.000000000000000000e+00,-4.894398143999999749e-03,0.000000000000000000e+00,-1.801194496000000072e-03,-0.000000000000000000e+00,-9.070851200000000286e-04,3.367339673600000007e-03,4.758446399999999429e-04,2.397569523199999820e-03,-2.058723520000000132e-04,-2.410178048000000042e-03,-4.618243839999999854e-04,1.918375517183999995e-03,-2.534865600000000717e-04,3.902988160000000150e-04,3.853044480000001302e-05,-1.422349440000000029e-03,-1.556452480000000032e-04,0.000000000000000000e+00,-3.767808639999999706e-03,0.000000000000000000e+00,-9.896077683199998396e-04,-0.000000000000000000e+00,4.327272000000000063e-04,0.000000000000000000e+00,-3.789359487999999741e-03,0.000000000000000000e+00,-1.134173311999999876e-03,-0.000000000000000000e+00,-5.137310400000000754e-04,1.867267455999999950e-04,0.000000000000000000e+00,8.086484159999999914e-04,0.000000000000000000e+00,-9.460806719999999932e-05
-3.000000000000000000e+00,2.039548979999999956e-04,0.000000000000000000e+00,-4.974406734999999025e-03,0.000000000000000000e+00,-1.833224025999999948e-03,-0.000000000000000000e+00,-9.649903699999999194e-04,3.375791501099999984e-03,4.161611650000000611e-04,2.444615068200000144e-03,-8.154180199999999114e-05,-2.537908548000000156e-03,-5.067362589999999762e-04,1.880586847234000034e-03,-3.070117600000000992e-04,3.247097409999999775e-04,1.048714730000001185e-05,-1.366752240000000066e-03,-1.449600980000000094e-04,0.000000000000000000e+00,-3.772696039999999702e-03,0.000000000000000000e+00,-9.896083405700000467e-04,-0.000000000000000000e+00,4.335232999999999969e-04,0.000000000000000000e+00,-3.784673687999999536e-03,0.000000000000000000e+00,-1.126063736999999938e-03,-0.000000000000000000e+00,-5.399416900000000071e-04,1.457789380999999966e-04,0.000000000000000000e+00,7.955825560000000284e-04,0.000000000000000000e+00,-8.401874469999999733e-05
-2.000000000000000000e+00,1.949489279999999962e-04,0.000000000000000000e+00,-5.041910111999999694e-03,0.000000000000000000e+00,-1.861131295999999711e-03,-0.000000000000000000e+00,-9.929283199999999320e-04,3.376652689600000319e-03,3.579282399999999956e-04,2.483554035199999396e-03,1.645932799999999665e-05,-2.638663327999999850e-03,-5.400886240000000917e-04,1.858139969824000159e-03,-3.719617600000000245e-04,2.770489760000000652e-04,-1.373810719999999713e-05,-1.325230240000000066e-03,-1.372353280000000275e-04,0.000000000000000000e+00,-3.776195439999999962e-03,0.000000000000000000e+00,-9.896049675199999288e-04,-0.000000000000000000e+00,4.352507999999999833e-04,0.000000000000000000e+00,-3.768676767999999851e-03,0.000000000000000000e+00,-1.114780431999999903e-03,-0.000000000000000000e+00,-5.635306400000000653e-04,1.053752015999999858e-04,0.000000000000000000e+00,7.801736959999999287e-04,0.000000000000000000e+00,-7.316545920000000047e-05
-1.000000000000000000e+00,1.890616580000000250e-04,0.000000000000000000e+00,-5.097072722999999514e-03,0.000000000000000000e+00,-1.884511786000000067e-03,-0.000000000000000000e+00,-9.956497699999998854e-04,3.370274413099999880e-03,3.022981650000000978e-04,2.514609432199999862e-03,9.159015800000000116e-05,-2.714909108000000161e-03,-5.642017389999999348e-04,1.849966998114000068e-03,-4.435065600000000175e-04,2.448996609999999890e-04,-3.424697669999999475e-05,-1.296160440000000171e-03,-1.325634580000000244e-04,0.000000000000000000e+00,-3.778298439999999789e-03,0.000000000000000000e+00,-9.896014309700000306e-04,-0.000000000000000000e+00,4.379097000000000198e-04,0.000000000000000000e+00,-3.743464648000000179e-03,0.000000000000000000e+00,-1.101166577000000073e-03,-0.000000000000000000e+00,-5.848701900000000294e-04,6.564801010000001144e-05,0.000000000000000000e+00,7.631811960000000131e-04,0.000000000000000000e+00,-6.214980870000000909e-05
